timestamp,open,high,low,close,volume,close_time,quote_volume,trades
1704067200000,2281.87,2297.18,2281.27,2295.51,10771.9183,1704070799999,24687569.068814,24867
1704070800000,2295.52,2306.6,2292.9,2303.72,8413.426,1704074399999,19362274.430967,20299
1704074400000,2303.72,2304.72,2291.2,2293.02,5808.2533,1704077999999,13343416.033759,16125
1704078000000,2293.03,2294.5,2271.0,2273.81,10745.736,1704081599999,24519619.346355,25873
1704081600000,2273.8,2279.86,2265.24,2279.55,9681.5762,1704085199999,22012912.481689,26019
1704085200000,2279.54,2283.36,2272.62,2275.89,6705.1165,1704088799999,15280361.405577,18317
1704088800000,2275.89,2283.31,2274.16,2281.9,6056.6319,1704092399999,13797870.477719,15739
1704092400000,2281.9,2287.88,2281.51,2284.67,5664.1887,1704095999999,12940600.353967,15377
1704096000000,2284.68,2287.38,2280.0,2287.01,5571.1935,1704099599999,12722726.746587,15895
1704099600000,2287.01,2300.0,2287.0,2299.8,8083.262,1704103199999,18538201.694726,22171
1704103200000,2299.8,2303.0,2297.4,2302.04,8188.7741,1704106799999,18837698.667759,19031
1704106800000,2302.04,2305.05,2299.0,2304.47,6050.8796,1704110399999,13930035.665857,16550
1704110400000,2304.47,2307.24,2299.04,2299.43,7257.2379,1704113999999,16714387.368878,18997
1704114000000,2299.42,2308.2,2298.07,2304.16,5288.8224,1704117599999,12187056.128404,17034
1704117600000,2304.16,2305.11,2294.84,2300.99,7316.2575,1704121199999,16829519.028893,21564
1704121200000,2300.99,2318.34,2299.2,2314.7,12303.5344,1704124799999,28415498.715988,29378
1704124800000,2314.69,2319.55,2306.53,2309.89,11755.1864,1704128399999,27186426.410317,28181
1704128400000,2309.89,2317.09,2306.48,2313.76,8560.8241,1704131999999,19798995.048754,20113
1704132000000,2313.77,2331.77,2313.76,2326.9,15349.3543,1704135599999,35700904.19573,34794
1704135600000,2326.9,2340.98,2322.0,2337.26,11136.8878,1704139199999,25965660.959658,28688
1704139200000,2337.27,2348.78,2335.25,2340.98,17493.0377,1704142799999,40981127.125948,33627
1704142800000,2340.98,2346.55,2332.2,2337.83,10238.9674,1704146399999,23955712.674923,21162
1704146400000,2337.83,2339.1,2323.66,2334.21,6444.2583,1704149999999,15025206.377175,17545
1704150000000,2334.22,2352.37,2334.17,2352.04,11817.3671,1704153599999,27717439.204362,29324
1704153600000,2352.05,2391.43,2346.95,2387.58,40687.4646,1704157199999,96461701.284948,87296
1704157200000,2387.59,2397.56,2370.38,2378.08,29424.4237,1704160799999,70155558.197734,60378
1704160800000,2378.09,2382.96,2373.65,2382.95,13292.5147,1704164399999,31623459.162026,27684
1704164400000,2382.96,2388.61,2371.47,2386.43,16262.0974,1704167999999,38697436.105067,34356
1704168000000,2386.42,2390.44,2378.58,2387.66,12124.3336,1704171599999,28902517.921705,27941
1704171600000,2387.66,2392.4,2377.18,2377.48,14852.3142,1704175199999,35433612.796449,27168
1704175200000,2377.47,2383.68,2373.86,2373.86,10223.5551,1704178799999,24317745.724628,23255
1704178800000,2373.86,2388.93,2373.69,2385.84,13341.4557,1704182399999,31776856.39766,30222
1704182400000,2385.84,2431.3,2380.09,2426.49,48568.8207,1704185999999,117260205.489532,91595
1704186000000,2426.49,2428.43,2411.74,2413.77,21469.8389,1704189599999,51968471.36285,46737
1704189600000,2413.77,2416.4,2392.85,2398.14,19010.6342,1704193199999,45703819.428637,43307
1704193200000,2398.15,2402.91,2380.36,2391.24,17120.8522,1704196799999,40966445.784232,41380
1704196800000,2391.24,2404.68,2382.73,2386.85,15110.638,1704200399999,36177454.945851,40509
1704200400000,2386.85,2400.78,2382.22,2398.0,13619.2626,1704203999999,32605168.793672,31818
1704204000000,2398.01,2402.65,2354.92,2367.28,33817.2174,1704207599999,80327529.760246,73892
1704207600000,2367.27,2371.14,2352.04,2357.48,25617.6125,1704211199999,60523932.416225,57598
1704211200000,2357.48,2369.6,2350.19,2367.91,18916.5505,1704214799999,44596329.015866,45313
1704214800000,2367.92,2368.14,2350.95,2357.43,11178.9001,1704218399999,26386005.383618,33708
1704218400000,2357.43,2369.6,2355.54,2365.7,8386.0845,1704221999999,19820203.192613,28894
1704222000000,2365.7,2372.75,2354.79,2369.19,18480.2093,1704225599999,43705628.247676,37253
1704225600000,2369.19,2380.0,2358.32,2359.87,15536.6175,1704229199999,36795695.406896,37429
1704229200000,2359.86,2366.34,2341.0,2366.34,16682.1997,1704232799999,39311295.023704,43601
1704232800000,2366.33,2372.5,2357.53,2359.03,9548.8149,1704236399999,22589108.8501,26048
1704236400000,2359.02,2363.24,2351.0,2355.34,14769.2522,1704239999999,34816017.357156,30953
1704240000000,2355.35,2367.0,2347.4,2361.39,14703.209,1704243599999,34682650.246709,36426
1704243600000,2361.39,2375.0,2360.04,2373.08,10216.5552,1704247199999,24193940.220333,24471
1704247200000,2373.08,2384.66,2367.33,2368.75,14123.3289,1704250799999,33555760.880637,29926
1704250800000,2368.75,2370.31,2364.21,2368.51,7666.7494,1704254399999,18148733.651855,19158
1704254400000,2368.51,2373.9,2363.21,2370.5,11719.5227,1704257999999,27764296.944172,20949
1704258000000,2370.51,2379.61,2367.99,2376.94,9631.564,1704261599999,22872946.358053,21569
